,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,target
13746409,2021-07-10 05:52:09.028264+00:00,x,y,2021-07-18 07:00:00+00:00,2021-07-18 09:00:00+00:00,alpha,True,35.0,1,a-5,14645.0
8175156,2021-05-30 19:11:39.316298+00:00,x,y,2021-06-11 16:00:00+00:00,2021-06-11 18:00:00+00:00,alpha,True,35.0,1,a-7,9707.0
7033826,2021-05-17 13:52:57.650778+00:00,x,y,2021-06-04 11:00:00+00:00,2021-06-04 12:55:00+00:00,beta,True,20.0,0,b-69,6734.0
13789130,2021-07-10 11:06:45.738967+00:00,x,y,2021-07-31 17:00:00+00:00,2021-07-31 18:59:00+00:00,gamma,True,20.0,1,c-6,11545.0
171722,2021-01-05 09:38:34.340991+00:00,x,y,2021-01-06 11:00:00+00:00,2021-01-06 13:00:00+00:00,gamma,True,32.0,1,c-4,9655.0
6741442,2021-05-13 18:39:05.814767+00:00,x,y,2021-05-29 10:00:00+00:00,2021-05-29 12:00:00+00:00,alpha,True,15.0,1,a-9,6495.0
7655620,2021-05-24 13:13:19.194033+00:00,x,y,2021-06-10 05:00:00+00:00,2021-06-10 06:55:00+00:00,beta,True,20.0,0,b-1,7395.0
7977984,2021-05-28 19:31:56.313414+00:00,x,y,2021-06-29 05:00:00+00:00,2021-06-29 07:00:00+00:00,alpha,True,35.0,1,a-1,7520.0
20298460,2021-08-21 10:01:46.373763+00:00,x,y,2021-08-23 10:35:00+00:00,2021-08-23 12:35:00+00:00,omega,True,20.0,1,d-3,22300.0
20630892,2021-08-23 14:08:48.974557+00:00,x,y,2021-09-06 10:30:00+00:00,2021-09-06 12:25:00+00:00,beta,True,40.0,0,b-69,8390.0
2894858,2021-03-09 10:31:31.768155+00:00,x,y,2021-03-20 15:30:00+00:00,2021-03-20 17:30:00+00:00,alpha,True,35.0,1,a-7,8027.0
10951240,2021-06-23 14:11:48.104535+00:00,x,y,2021-06-24 16:00:00+00:00,2021-06-24 18:00:00+00:00,alpha,True,35.0,1,a-23,11072.0
756718,2021-01-22 14:43:12.085491+00:00,x,y,2021-01-24 16:00:00+00:00,2021-01-24 18:10:00+00:00,alpha,True,0.0,0,a-7,8739.0
16004300,2021-07-26 12:28:49.552088+00:00,x,y,2021-08-03 11:00:00+00:00,2021-08-03 12:55:00+00:00,beta,True,40.0,0,b-69,13090.0
5931312,2021-05-01 09:55:45.498560+00:00,x,y,2021-05-19 05:00:00+00:00,2021-05-19 07:00:00+00:00,gamma,True,20.0,1,c-2,8650.0
8822154,2021-06-05 15:49:25.002962+00:00,x,y,2021-06-26 14:00:00+00:00,2021-06-26 15:55:00+00:00,beta,True,20.0,0,b-9,10057.0
2471911,2021-03-02 12:20:12.064483+00:00,x,y,2021-03-05 05:00:00+00:00,2021-03-05 06:55:00+00:00,beta,True,20.0,0,b-1,6954.0
20688091,2021-08-23 21:01:02.080386+00:00,x,y,2021-09-05 10:00:00+00:00,2021-09-05 12:00:00+00:00,gamma,True,20.0,1,c-2,8750.0
9312394,2021-06-10 14:03:18.011703+00:00,x,y,2021-08-16 11:00:00+00:00,2021-08-16 13:00:00+00:00,gamma,True,20.0,1,c-4,10900.0
13950011,2021-07-11 11:28:23.826354+00:00,x,y,2021-07-13 10:00:00+00:00,2021-07-13 12:00:00+00:00,alpha,True,15.0,1,a-7,14945.0
5112235,2021-04-21 09:29:52.110570+00:00,x,y,2021-05-04 17:00:00+00:00,2021-05-04 18:59:00+00:00,gamma,True,20.0,1,c-6,7390.0
10907714,2021-06-23 07:53:41.062940+00:00,x,y,2021-07-13 14:00:00+00:00,2021-07-13 15:55:00+00:00,beta,True,20.0,0,b-9,6386.0
12381897,2021-07-02 16:26:34.817667+00:00,x,y,2021-07-04 14:00:00+00:00,2021-07-04 16:00:00+00:00,gamma,True,20.0,2,c-4,23885.0
18898095,2021-08-13 14:08:28.018600+00:00,x,y,2021-08-18 04:00:00+00:00,2021-08-18 06:00:00+00:00,alpha,True,15.0,1,a-1,7524.0
7381018,2021-05-21 11:14:26.509073+00:00,x,y,2021-05-31 13:00:00+00:00,2021-05-31 15:00:00+00:00,alpha,True,35.0,1,a-5,7520.0
12340223,2021-07-02 12:20:39.885990+00:00,x,y,2021-07-12 10:00:00+00:00,2021-07-12 12:00:00+00:00,alpha,True,35.0,1,a-7,12645.0
8231133,2021-05-31 10:00:38.218636+00:00,x,y,2021-06-23 11:00:00+00:00,2021-06-23 13:00:00+00:00,gamma,True,20.0,2,c-4,11900.0
7244356,2021-05-19 21:38:38.742637+00:00,x,y,2021-05-21 17:00:00+00:00,2021-05-21 18:59:00+00:00,gamma,True,20.0,2,c-6,9025.0
14040603,2021-07-12 02:49:38.554043+00:00,x,y,2021-07-27 09:45:00+00:00,2021-07-27 11:45:00+00:00,gamma,True,20.0,1,c-2,10285.0
14002408,2021-07-11 17:34:33.682938+00:00,x,y,2021-08-04 07:00:00+00:00,2021-08-04 09:00:00+00:00,alpha,True,35.0,1,a-5,14645.0
20091558,2021-08-20 04:33:11.604280+00:00,x,y,2021-12-31 05:00:00+00:00,2021-12-31 06:55:00+00:00,beta,True,40.0,0,b-1,8400.0
